songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Theme from A Summer Place,Percy Faith,1960,60,1,2,0.591,0.326,0.326,0.918,0.494,-15.144,0.0297,186.232,0.87
He'll Have to Go,Jim Reeves,1960,60,2,0,0.909,0.554,0.186,0.00144,0.11,-15.846,0.0379,81.181,0.2
Cathy's Clown,The Everly Brothers,1960,60,3,0,0.548,0.507,0.561,0,0.59,-10.472,0.0353,120.042,0.89
Running Bear,Johnny Preston,1960,60,4,0,0.775,0.76,0.468,0.0000236,0.184,-8.957,0.0482,119.986,0.745
Teen Angel,Mark Dinning,1960,60,5,0,0.936,0.569,0.0638,0,0.122,-18.548,0.0458,101.521,0.282
I'm Sorry,Brenda Lee,1960,60,6,0,0.868,0.558,0.223,0.000972,0.13,-12.362,0.0299,101.711,0.303
It's Now or Never,Elvis Presley,1960,60,7,0,0.642,0.643,0.491,0.00972,0.286,-9.312,0.0344,126.399,0.753
Handy Man,Jimmy Jones,1960,60,8,0,0.4,0.477,0.781,0,0.331,-6.931,0.0654,144.976,0.75
Stuck on You,Elvis Presley,1960,60,9,0,0.758,0.647,0.513,0.00000864,0.108,-12.372,0.0421,131.641,0.955
The Twist,Chubby Checker,1960,60,10,0,0.18,0.571,0.618,0.00000269,0.178,-5.682,0.0371,156.892,0.852
Everybody's Somebody's Fool,Connie Francis,1960,60,11,0,0.745,0.584,0.737,0.0000193,0.208,-4.643,0.0306,84.322,0.753
Wild One,Bobby Rydell,1960,60,12,0,0.679,0.598,0.714,0.00000299,0.0539,-6.981,0.0443,148.876,0.853
Greenfields,The Brothers Four,1960,60,13,0,0.863,0.466,0.125,0,0.121,-20.428,0.0372,111.43,0.338
What in the World's Come Over You,Jack Scott,1960,60,14,0,0.802,0.506,0.176,0.00000393,0.0978,-13.962,0.0303,76.273,0.492
El Paso,Marty Robbins,1960,60,15,0,0.835,0.654,0.452,0.0000289,0.16,-9.709,0.03,106.662,0.691
Alley Oop,The Hollywood Argyles,1960,60,16,0,0.809,0.584,0.476,0,0.0915,-9.562,0.0614,63.325,0.944
My Heart Has a Mind of Its Own,Connie Francis,1960,60,17,0,0.819,0.495,0.539,0,0.325,-6.088,0.0336,109.49,0.715
Sweet Nothin's,Brenda Lee,1960,60,18,0,0.642,0.778,0.413,0.00104,0.148,-10.551,0.0514,125.235,0.961
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,60,19,0,0.558,0.814,0.427,0,0.0248,-11.543,0.0918,123.109,0.964
Only the Lonely,Roy Orbison,1960,60,20,0,0.377,0.57,0.529,0.00509,0.203,-10.769,0.028,123.273,0.934
Where or When,Dion and the Belmonts,1960,60,21,0,0.722,0.449,0.395,0,0.183,-6.389,0.0277,110.501,0.393
Sixteen Reasons,Connie Stevens,1960,60,22,0,0.865,0.339,0.406,0.000011,0.11,-8.955,0.0319,109.783,0.619
Puppy Love,Paul Anka,1960,60,23,0,0.667,0.431,0.321,0,0.192,-11.827,0.0289,103.164,0.518
Why,Frankie Avalon,1960,60,24,0,0.762,0.51,0.349,0,0.13,-8.677,0.0264,94.267,0.586
Walk Don't Run,The Ventures,1960,60,25,0,0.852,0.488,0.648,0.914,0.13,-13.252,0.0305,156.35,0.949
